Player,Pos,G,MP,FG,FGA,FG%,3P,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
Patrick Patterson,PF,52,12.1,1.5,3.7,0.41100000000000003,1.1,0.5,0.7,0.794,2.4,0.6,0.1,0.1,0.3,4.6
Justin Patton,C,5,4.8,0.8,2.0,0.4,0.2,0.0,0.0,,1.0,0.4,0.0,0.0,0.4,1.8
Chris Paul,PG,63,31.8,6.3,12.8,0.489,1.6,3.6,4.0,0.9,4.9,6.8,1.6,0.1,2.2,17.7
Cameron Payne,G,1,19.0,4.0,7.0,0.5710000000000001,1.0,0.0,0.0,,3.0,2.0,2.0,1.0,1.0,9.0
Elfrid Payton,PG,45,27.7,4.3,9.8,0.439,0.3,1.1,1.9,0.57,4.7,7.2,1.6,0.4,2.1,10.0
Gary Payton II,PG,29,14.9,1.7,4.0,0.414,0.4,0.1,0.3,0.5,2.8,1.7,1.1,0.2,0.7,3.9
Norvel Pelle,C,20,8.9,0.9,1.8,0.514,0.0,0.3,0.6,0.5,3.0,0.4,0.1,1.3,0.7,2.1
Theo Pinson,SG,33,11.1,1.4,4.7,0.29,0.5,0.5,0.5,0.938,1.6,1.7,0.5,0.1,1.0,3.6
Mason Plumlee,C,53,17.0,2.9,4.7,0.617,0.0,1.4,2.6,0.536,5.3,2.4,0.5,0.6,1.4,7.2
Jakob Poeltl,C,59,16.9,2.3,3.8,0.613,0.0,0.6,1.3,0.48700000000000004,5.4,1.8,0.5,1.5,0.8,5.3
Vincent Poirier,C,21,5.4,0.8,1.6,0.485,0.0,0.3,0.3,0.857,1.6,0.3,0.1,0.3,0.3,1.9
Shamorie Ponds,PG,4,2.8,0.8,1.3,0.6,0.3,0.5,0.5,1.0,0.3,0.5,0.0,0.3,0.0,2.3
Jordan Poole,SG,57,22.4,2.9,8.8,0.33299999999999996,1.3,1.7,2.1,0.7979999999999999,2.1,2.4,0.6,0.2,1.3,8.8
Kevin Porter Jr.,SF,50,23.2,3.7,8.4,0.442,1.1,1.5,2.0,0.723,3.2,2.2,0.9,0.3,1.9,10.0
Michael Porter Jr.,PF,48,14.0,2.9,5.9,0.495,0.9,0.7,0.9,0.767,4.1,0.7,0.4,0.4,0.7,7.5
Otto Porter,SF,14,23.6,4.4,10.0,0.44299999999999995,1.7,1.4,1.9,0.7040000000000001,3.4,1.8,1.1,0.4,0.8,11.9
Bobby Portis,C,66,21.1,4.0,8.9,0.45,1.0,1.1,1.4,0.763,5.1,1.5,0.5,0.3,1.1,10.1
Kristaps Porziņģis,PF,52,31.5,6.8,16.0,0.42200000000000004,2.5,3.6,4.6,0.782,9.6,1.8,0.7,2.1,1.7,19.6
Dwight Powell,C,40,26.5,3.7,5.7,0.638,0.3,1.9,2.8,0.667,5.7,1.5,0.9,0.6,0.9,9.4
Norman Powell,SG,44,28.8,5.9,11.7,0.502,2.1,2.5,3.0,0.838,3.7,1.8,1.3,0.4,1.5,16.4
Chasson Randle,PG,3,13.3,0.0,1.3,0.0,0.0,1.7,2.0,0.833,0.7,1.7,0.7,0.0,0.0,1.7
Julius Randle,PF,64,32.5,7.2,15.7,0.46,1.0,4.0,5.5,0.733,9.7,3.1,0.8,0.3,3.0,19.5
Josh Reaves,SG,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cam Reddish,SF,58,26.7,3.7,9.6,0.384,1.4,1.7,2.2,0.802,3.7,1.5,1.1,0.5,1.7,10.5
J.J. Redick,SG,55,26.4,4.7,10.4,0.45,2.9,2.7,3.0,0.904,2.6,2.0,0.3,0.2,1.2,15.0
Naz Reid,C,30,16.5,3.3,8.1,0.41200000000000003,1.1,1.2,1.8,0.698,4.1,1.2,0.6,0.7,0.7,9.0
Josh Richardson,SG,48,30.7,5.1,12.0,0.429,1.5,2.1,2.7,0.789,3.4,3.1,0.9,0.7,1.9,13.8
Austin Rivers,SG,61,23.3,3.0,7.2,0.423,1.4,1.0,1.5,0.67,2.4,1.6,0.7,0.2,0.6,8.5
Duncan Robinson,SF,65,30.0,4.4,9.4,0.467,3.7,0.7,0.8,0.9059999999999999,3.3,1.4,0.5,0.2,0.9,13.3
Glenn Robinson III,SF,60,29.1,4.7,9.6,0.486,1.2,1.2,1.4,0.867,4.3,1.6,0.9,0.3,0.9,11.8
Jerome Robinson,SG,56,13.9,1.5,4.0,0.364,0.6,0.4,0.6,0.688,1.9,1.2,0.4,0.3,0.6,3.9
Justin Robinson,PG,9,5.4,0.6,1.3,0.41700000000000004,0.3,0.0,0.0,,0.6,0.8,0.0,0.1,0.3,1.4
Mitchell Robinson,C,61,23.1,4.1,5.6,0.742,0.0,1.4,2.4,0.568,7.0,0.6,0.9,2.0,0.6,9.7
Isaiah Roby,SF,3,3.7,0.0,0.3,0.0,0.0,0.0,0.0,,0.7,0.0,0.0,0.0,0.3,0.0
Rajon Rondo,PG,48,20.5,2.9,6.8,0.418,0.9,0.6,0.9,0.659,3.0,5.0,0.8,0.0,1.9,7.1
Derrick Rose,PG,50,26.0,7.4,15.1,0.49,0.9,2.4,2.8,0.871,2.4,5.6,0.8,0.3,2.5,18.1
Terrence Ross,SG,64,27.3,5.0,12.3,0.406,2.5,2.1,2.5,0.846,3.2,1.2,1.1,0.3,1.0,14.7
Terry Rozier,PG,63,34.3,6.3,14.9,0.423,2.7,2.6,3.0,0.8740000000000001,4.4,4.1,1.0,0.2,2.2,18.0
Ricky Rubio,PG,58,31.6,4.4,10.7,0.413,1.2,3.1,3.7,0.858,4.6,8.9,1.6,0.2,2.7,13.1
D'Angelo Russell,PG,45,32.3,8.0,18.8,0.426,3.5,3.6,4.4,0.809,3.9,6.3,1.1,0.3,3.3,23.1
Domantas Sabonis,C,62,34.8,7.4,13.7,0.54,0.3,3.5,4.8,0.723,12.4,5.0,0.8,0.5,2.7,18.5
Luka Šamanić,PF,1,12.0,0.0,4.0,0.0,0.0,0.0,0.0,,2.0,3.0,0.0,0.0,0.0,0.0
JaKarr Sampson,SF,26,13.1,1.8,3.1,0.593,0.1,0.4,0.8,0.55,2.3,0.3,0.3,0.3,0.3,4.2
Dario Šarić,PF,59,24.9,3.7,8.1,0.46399999999999997,1.3,1.4,1.7,0.8420000000000001,5.9,1.9,0.6,0.3,1.3,10.2
Tomáš Satoranský,PG,65,28.9,3.6,8.5,0.43,1.0,1.6,1.9,0.8759999999999999,3.9,5.4,1.2,0.1,2.0,9.9
Admiral Schofield,SF,28,10.6,1.1,2.8,0.39,0.5,0.3,0.5,0.6920000000000001,1.3,0.5,0.3,0.1,0.3,3.0
Dennis Schröder,PG,63,31.0,7.0,15.0,0.46799999999999997,1.9,3.1,3.7,0.8390000000000001,3.7,4.1,0.7,0.2,2.5,19.0
Mike Scott,PF,63,17.8,2.1,5.1,0.408,1.2,0.4,0.5,0.833,3.6,0.8,0.3,0.1,0.4,5.7
Thabo Sefolosha,PF,41,10.6,0.9,2.2,0.40700000000000003,0.4,0.1,0.2,0.375,2.3,0.6,0.6,0.3,0.4,2.2
Collin Sexton,SG,65,33.0,7.9,16.7,0.47200000000000003,1.5,3.5,4.1,0.846,3.1,3.0,1.0,0.1,2.4,20.8
Landry Shamet,SG,48,27.4,3.1,7.5,0.409,2.2,1.2,1.3,0.905,1.9,1.8,0.4,0.2,0.8,9.5
Marial Shayok,SG,2,5.0,0.5,2.5,0.2,0.5,0.0,0.0,,1.5,0.5,0.0,0.0,0.5,1.5
Iman Shumpert,SG,13,18.5,1.6,4.9,0.32799999999999996,0.6,0.3,0.5,0.5710000000000001,2.6,0.9,0.9,0.2,0.8,4.2
Pascal Siakam,PF,53,35.5,8.7,18.9,0.45899999999999996,2.2,4.2,5.2,0.8,7.5,3.6,1.0,0.9,2.5,23.6
Chris Silva,PF,41,7.5,1.0,1.7,0.623,0.0,0.8,1.2,0.6940000000000001,2.7,0.5,0.2,0.4,0.8,2.9
Ben Simmons,PG,54,35.7,6.7,11.4,0.585,0.0,3.3,5.3,0.627,7.8,8.2,2.1,0.6,3.6,16.7
Anfernee Simons,SG,65,21.5,3.2,8.1,0.402,1.1,1.2,1.4,0.826,2.3,1.5,0.4,0.2,0.9,8.8
Alen Smailagić,PF,14,9.9,1.4,2.9,0.5,0.2,1.1,1.4,0.8420000000000001,1.9,0.9,0.2,0.3,0.8,4.2
Marcus Smart,SG,54,32.5,4.6,11.9,0.384,2.4,2.1,2.5,0.83,3.9,4.8,1.6,0.5,1.7,13.6
Dennis Smith Jr.,PG,34,15.8,2.1,6.2,0.341,0.5,0.8,1.6,0.509,2.3,2.9,0.8,0.2,1.7,5.5
Ish Smith,PG,61,26.2,4.4,9.8,0.451,0.9,0.8,1.1,0.6859999999999999,3.2,4.8,0.9,0.4,1.3,10.6
J.R. Smith,SG,1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Zhaire Smith,SG,7,4.6,0.4,1.6,0.273,0.0,0.3,0.6,0.5,0.3,0.3,0.4,0.0,0.3,1.1
Tony Snell,SF,59,27.8,2.9,6.5,0.445,1.7,0.5,0.5,1.0,1.9,2.2,0.5,0.3,0.5,8.0
Omari Spellman,PF,49,18.1,2.6,6.0,0.431,0.9,1.5,1.9,0.7929999999999999,4.5,1.0,0.7,0.5,1.1,7.6
Max Strus,SG,2,3.0,1.0,1.5,0.667,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,2.5
Edmond Sumner,PG,25,13.8,1.9,4.4,0.423,0.4,0.4,0.6,0.667,1.5,1.6,0.6,0.3,0.8,4.6
Caleb Swanigan,PF,27,10.7,1.0,1.7,0.596,0.0,0.3,0.6,0.529,3.7,1.1,0.1,0.3,1.4,2.4
Jayson Tatum,PF,60,34.6,8.4,18.9,0.44299999999999995,2.8,3.8,4.7,0.804,7.1,3.0,1.4,0.9,2.2,23.3
Jeff Teague,PG,59,24.8,3.6,8.3,0.436,0.7,2.9,3.3,0.873,2.4,5.2,0.7,0.3,2.0,10.9
Garrett Temple,SG,56,28.1,3.6,9.4,0.376,2.0,1.0,1.3,0.767,3.4,2.5,0.8,0.5,1.1,10.1
Daniel Theis,C,59,24.0,3.7,6.7,0.5589999999999999,0.5,1.4,1.8,0.759,6.6,1.7,0.6,1.3,0.8,9.4
Isaiah Thomas,PG,40,23.1,4.4,10.7,0.408,2.0,1.6,1.9,0.816,1.7,3.7,0.3,0.2,1.9,12.2
Khyri Thomas,SG,8,7.6,0.6,2.1,0.294,0.6,0.3,0.5,0.5,0.1,0.4,0.4,0.0,0.4,2.1
Lance Thomas,F,1,18.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,6.0
Matt Thomas,SG,33,9.7,1.6,3.4,0.486,1.1,0.2,0.3,0.7,1.5,0.5,0.2,0.0,0.4,4.5
Tristan Thompson,C,57,30.2,5.1,9.9,0.512,0.2,1.7,2.8,0.615,10.1,2.1,0.6,0.9,1.8,12.0
Matisse Thybulle,SG,57,19.5,1.7,4.1,0.41,0.9,0.4,0.7,0.61,1.5,1.2,1.4,0.7,0.8,4.7
Anthony Tolliver,PF,48,15.6,1.1,3.3,0.348,0.8,0.4,0.6,0.7040000000000001,2.8,0.7,0.3,0.2,0.6,3.5
Juan Toscano-Anderson,SF,13,20.9,2.2,4.8,0.46,0.6,0.2,0.4,0.6,4.0,2.0,1.0,0.4,1.2,5.3
Karl-Anthony Towns,C,35,33.9,9.0,17.8,0.508,3.3,5.1,6.5,0.7959999999999999,10.8,4.4,0.9,1.2,3.1,26.5
Gary Trent Jr.,SG,54,20.1,2.9,6.6,0.43,1.5,0.6,0.8,0.805,1.6,1.0,0.7,0.3,0.4,7.8
Allonzo Trier,PG,24,12.1,2.1,4.4,0.48100000000000004,0.8,1.4,1.8,0.7909999999999999,1.2,1.2,0.1,0.2,0.9,6.5
P.J. Tucker,PF,65,34.5,2.5,5.8,0.435,1.5,0.6,0.7,0.826,6.8,1.6,1.1,0.5,1.0,7.1
Rayjon Tucker,SG,14,5.6,0.6,1.4,0.42100000000000004,0.0,0.2,0.4,0.6,0.9,0.1,0.1,0.0,0.2,1.4
Evan Turner,PG,19,13.2,1.3,3.5,0.373,0.0,0.6,0.7,0.857,2.0,2.0,0.5,0.4,1.4,3.3
Myles Turner,C,55,29.6,4.2,9.4,0.451,1.4,2.0,2.6,0.75,6.5,1.1,0.8,2.2,1.2,11.8
Jarrod Uthoff,SF,4,3.5,0.3,1.8,0.14300000000000002,0.0,0.5,0.5,1.0,0.3,0.0,0.3,0.0,0.0,1.0
Jonas Valančiūnas,C,63,26.1,6.2,10.5,0.589,0.5,2.1,2.8,0.7390000000000001,11.1,1.7,0.4,1.1,1.7,14.9
Denzel Valentine,SF,36,13.6,2.7,6.6,0.409,1.3,0.2,0.2,0.75,2.1,1.2,0.7,0.2,0.7,6.8
Jarred Vanderbilt,SF-PF,11,4.2,0.5,0.7,0.625,0.0,0.2,0.2,1.0,0.8,0.2,0.3,0.1,0.6,1.1
Fred VanVleet,PG,48,35.8,6.0,14.6,0.409,2.7,2.9,3.5,0.843,3.8,6.6,1.9,0.3,2.3,17.6
Gabe Vincent,PG,6,7.0,0.7,3.2,0.21100000000000002,0.7,0.0,0.0,,0.5,0.5,0.2,0.0,0.0,2.0
Noah Vonleh,C-PF,33,11.0,1.5,2.7,0.562,0.1,0.7,0.9,0.8,3.7,0.8,0.3,0.2,0.6,3.8
Nikola Vučević,C,55,32.5,7.9,16.8,0.473,1.5,2.2,2.7,0.7879999999999999,11.0,3.8,0.8,0.9,1.4,19.5
Dean Wade,PF,12,5.9,0.8,1.1,0.6920000000000001,0.2,0.0,0.1,0.0,1.6,0.2,0.2,0.3,0.3,1.7
Moritz Wagner,C,38,19.0,3.5,6.1,0.5710000000000001,0.6,1.8,2.2,0.8170000000000001,5.1,1.3,0.6,0.4,1.5,9.3
Dion Waiters,SG,4,15.8,3.8,9.0,0.41700000000000004,2.3,0.0,0.3,0.0,3.5,1.3,0.0,0.8,0.8,9.8
Kemba Walker,PG,51,31.6,7.0,16.5,0.42200000000000004,3.3,3.9,4.5,0.865,4.0,4.9,0.9,0.5,2.1,21.1
Lonnie Walker,SG,54,14.8,2.3,5.2,0.441,0.6,0.7,1.0,0.722,2.2,0.9,0.5,0.2,0.6,5.8
Tyrone Wallace,SG,14,11.4,1.0,3.1,0.318,0.1,0.8,1.2,0.647,1.6,0.9,0.5,0.1,0.7,2.9
Taurean Prince,SF,64,29.0,4.3,11.5,0.376,2.3,1.1,1.4,0.7979999999999999,6.0,1.8,0.9,0.4,2.0,12.1
Derrick Walton,PG,26,9.5,0.7,1.5,0.462,0.4,0.3,0.3,0.778,0.6,1.0,0.3,0.0,0.2,2.0
Brad Wanamaker,PG,64,19.4,2.2,5.1,0.431,0.5,1.8,1.9,0.9329999999999999,2.0,2.5,0.8,0.2,1.1,6.7
T.J. Warren,SF,61,32.5,7.5,14.2,0.529,1.1,2.5,3.0,0.812,4.0,1.4,1.1,0.4,1.3,18.7
P.J. Washington,PF,58,30.3,4.6,10.2,0.455,1.5,1.5,2.3,0.647,5.4,2.1,0.9,0.8,1.6,12.2
Yuta Watanabe,SG,16,6.2,0.8,1.8,0.414,0.2,0.2,0.5,0.375,1.1,0.3,0.3,0.1,0.1,1.9
Tremont Waters,PG,10,8.9,1.2,3.5,0.34299999999999997,0.3,0.6,0.6,1.0,0.9,1.2,0.5,0.2,1.0,3.3
Paul Watson,SF-SG,5,5.0,0.0,1.6,0.0,0.0,0.2,0.4,0.5,0.8,1.0,0.2,0.2,0.0,0.2
Quinndary Weatherspoon,SG,4,6.3,0.5,2.0,0.25,0.0,0.0,0.0,,0.5,0.8,0.3,0.0,0.3,1.0
Russell Westbrook,PG,54,36.1,10.8,22.8,0.473,1.0,5.1,6.6,0.7709999999999999,8.1,7.0,1.7,0.3,4.5,27.5
Coby White,SG,65,25.8,4.8,12.2,0.39399999999999996,2.0,1.6,2.0,0.7909999999999999,3.5,2.7,0.8,0.1,1.7,13.2
Derrick White,SG,62,24.2,3.6,7.7,0.461,1.0,2.5,2.9,0.862,3.2,3.4,0.6,0.9,1.3,10.6
Hassan Whiteside,C,62,31.1,6.8,11.0,0.618,0.1,2.5,3.6,0.6809999999999999,14.1,1.2,0.4,3.0,1.9,16.1
Andrew Wiggins,SF-SG,54,34.4,8.1,18.1,0.447,2.1,3.5,5.0,0.7090000000000001,5.1,3.7,0.8,1.0,2.4,21.8
Grant Williams,PF,63,15.5,1.3,3.0,0.41700000000000004,0.3,0.6,0.8,0.725,2.6,1.0,0.5,0.5,0.7,3.5
Johnathan Williams,C,12,12.3,1.3,2.1,0.64,0.0,0.3,0.6,0.5710000000000001,3.8,0.5,0.1,0.6,0.3,3.0
Kenrich Williams,PF,35,22.3,1.4,4.1,0.34299999999999997,0.7,0.3,0.7,0.375,5.1,1.5,0.7,0.6,0.6,3.8
Lou Williams,SG,60,29.3,6.1,14.7,0.41600000000000004,1.8,4.6,5.4,0.863,3.1,5.7,0.7,0.2,2.9,18.7
Marvin Williams,PF,52,19.4,2.1,4.8,0.442,1.0,0.9,1.0,0.87,2.8,1.1,0.7,0.5,0.5,6.1
Robert Williams,C,23,14.0,1.8,2.7,0.677,0.0,0.6,1.1,0.56,4.7,1.0,0.9,1.2,0.9,4.3
Nigel Williams-Goss,PG,9,3.1,0.1,0.8,0.14300000000000002,0.0,0.2,0.2,1.0,0.6,0.6,0.1,0.1,0.2,0.4
Zion Williamson,PF,20,29.0,8.9,15.0,0.593,0.3,5.0,7.7,0.647,6.5,2.1,0.8,0.5,2.7,23.1
D.J. Wilson,PF,32,8.8,1.3,3.2,0.396,0.4,0.2,0.3,0.667,2.1,0.7,0.1,0.2,0.5,3.1
Justise Winslow,SF,11,32.0,4.5,11.7,0.38799999999999996,0.5,1.6,2.5,0.667,6.6,4.0,0.6,0.5,2.2,11.3
Christian Wood,PF,62,21.4,4.6,8.2,0.5670000000000001,0.9,2.9,3.9,0.7440000000000001,6.3,1.0,0.5,0.9,1.4,13.1
Delon Wright,SG,66,21.6,2.7,5.8,0.47,0.7,1.1,1.4,0.789,4.0,3.3,1.2,0.3,1.0,7.3
Justin Wright-Foreman,PG,1,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,PF,64,24.9,4.2,9.4,0.44799999999999995,1.2,0.7,1.1,0.583,4.9,1.8,1.4,0.4,1.6,10.3
Trae Young,PG,60,35.3,9.1,20.8,0.43700000000000006,3.4,8.0,9.3,0.86,4.3,9.3,1.1,0.1,4.8,29.6
Cody Zeller,C,58,23.1,4.3,8.3,0.524,0.3,2.1,3.1,0.682,7.1,1.5,0.7,0.4,1.3,11.1
Ante Žižić,C,22,10.0,1.9,3.3,0.569,0.0,0.6,0.9,0.737,3.0,0.3,0.3,0.2,0.5,4.4
Ivica Zubac,C,65,18.0,3.1,5.2,0.599,0.0,1.6,2.2,0.759,7.1,1.1,0.2,0.9,0.8,7.9
